review_id,question,split,category,gt_answer,gold_chunk_ids,source_id,source_title,section_title,gold_content_excerpt,review_status,review_note
candidate-001,GORE-TEX 外套机洗时，水温和洗涤剂应该怎么选？,dev,washing,先遵循衣物洗标；GORE-TEX 衣物可用温水（105°F/40°C）机洗，并使用少量液体洗涤剂。不要使用洗衣粉、柔顺剂或含氯漂白剂。,goretex-outerwear-001/what-s-the-best-way-to-wash-my-gore-tex-garment/004,goretex-outerwear-001,Outerwear Care Instructions | GORE-TEX Brand,What's the best way to wash my GORE‑TEX garment?,"## What's the best way to wash my GORE‑TEX garment? Be sure to read the manufacturer’s care tag first. Wash your GORE‑TEX garment in the washing machine in warm (105°F/40°C) water. For the best results, use a small amount of liquid detergent. Please do not use powder detergents, fabric softener or chlorine bleach.",approved,
candidate-002,我的冲锋衣有泥土、篝火烟味或做饭留下的气味，需要多久洗一次？,dev,washing,按需要清洗；当需要去除泥土、篝火烟味或烹饪气味等污物时就可以清洗。洗涤、干燥和加热也有助于恢复 DWR。,goretex-outerwear-001/how-often-should-i-wash-my-gore-tex-garment/005,goretex-outerwear-001,Outerwear Care Instructions | GORE-TEX Brand,How often should I wash my GORE‑TEX garment?,"## How often should I wash my GORE‑TEX garment? Wash your garment as often as you need to remove such impurities as dirt, campfire smoke and cooking odors. Washing, drying and reheating your garment helps restore the durable water repellent (DWR) that is important to the performance of a GORE‑TEX garment. Do not tumble dry GORE-TEX SHAKEDRY™ garments.",approved,
candidate-003,我的洗衣机没有免烫防皱程序，GORE-TEX 外套应该选什么模式？,dev,washing,使用不会强力甩干的轻柔模式；将转速降至 400 rpm 或以下可减少褶皱。,goretex-outerwear-001/what-cycle-do-i-use-if-my-washing-machine-doesn-t-have-a-permanent-press-setting/006,goretex-outerwear-001,Outerwear Care Instructions | GORE-TEX Brand,What cycle do I use if my washing machine doesn’t have a permanent press setting?,## What cycle do I use if my washing machine doesn’t have a permanent press setting? You can use a gentle cycle that does not rigorously spin the garment. Reducing the spinning (400 rpm or lower) will minimize creasing.,approved,
candidate-004,Can I bleach a GORE-TEX jacket?,test,washing,No. GORE-TEX advises against bleach because it can affect the garment’s colour and performance.,goretex-outerwear-001/can-i-use-bleach/010,goretex-outerwear-001,Outerwear Care Instructions | GORE-TEX Brand,Can I use bleach?,## Can I use bleach? Please do not use bleach with any GORE‑TEX garment. It could affect the color and performance of the garment.,approved,
candidate-005,DWR 到底是什么，为什么水珠会在外层滚落？,dev,dwr,DWR 是耐久防泼水处理，会让水在衣物外层形成水珠并滚落，而不是被表层吸收。,goretex-outerwear-001/what-is-dwr/011,goretex-outerwear-001,Outerwear Care Instructions | GORE-TEX Brand,What is DWR?,"## What is the best way to dry my GORE‑TEX garment? ## What is DWR? GORE‑TEX garments are treated with an ultra-thin coating known as DWR, or durable water repellent. This treatment causes water to bead up and roll off the outer layer of garment, instead of being absorbed. Regular wear and tear, as well as exposure to dirt, sunscreen lotion, bug repellents, detergents, campfire smoke, cooking odors and other impurities diminish the water repellency of your garment. If water repellency can no lon",approved,
candidate-006,不挂水珠是不是说明 GORE-TEX 已经漏水了？,dev,dwr,不一定。DWR 失效时水不再成珠，需要通过洗涤加热重新激活或重新施加；产品仍会防水，但舒适性可能下降。,goretex-dwr-001/wash-care-reactivate/001,goretex-dwr-001,Durable Water Repllent (DWR) in GORE-TEX Products,Wash. Care. Reactivate.,"DWR isn’t permanent. When water stops beading, that means the DWR isn’t functioning correctly and needs to be either reactivated via the wash and heat process or reapplied with a pump-spray or wash-in product. Your GORE TEX Product will still be waterproof, but you may not feel the comfort you would normally expect. PFAS-free* DWR works better with regular care as it is less resistant to oils and requires more regular maintenance. GORE‑TEX Products are engineered for durability, so there’s no ne",approved,
candidate-007,Can I use an aerosol spray to restore DWR?,test,dwr,"Technically yes, but GORE-TEX recommends a pump-action spray rather than an aerosol spray to reduce environmental impact.",goretex-outerwear-001/can-i-use-an-aerosol-dwr-spray-to-replenish-the-dwr/012,goretex-outerwear-001,Outerwear Care Instructions | GORE-TEX Brand,Can I use an aerosol DWR spray to replenish the DWR?,"## Can I use an aerosol DWR spray to replenish the DWR? We recommend pump-action sprays instead of aerosol sprays to reduce the environmental impact. However, technically an aerosol spray can be used.",approved,
candidate-008,Mammut 硬壳洗之前要做哪些准备？,dev,hardshell_washing,先查看洗标；清空口袋、拉好拉链、扣好按钮和绑带、固定魔术贴、松开抽绳，抖掉灰尘后把夹克翻到里面。,mammut-hardshell-001/step-1-prep/001,mammut-hardshell-001,Hardshell jackets,Step 1 - Prep,"#### Step 1 - Prep For best practice, always check the care label (in the left or chest pocket) for special washing instructions. To get started, empty all pockets and close all zippers. Fasten buttons and straps, secure hook-and-loop fasteners at their widest setting, and release any drawcords. Shake away dust and dirt, then turn your jacket inside out.",approved,
candidate-009,硬壳衣能用柔顺剂或漂白剂吗？,dev,hardshell_washing,不能。Mammut 建议使用运动服环保液体洗涤剂，并避免洗衣粉、漂白剂、去渍剂和柔顺剂。,mammut-hardshell-001/step-2-detergent/002,mammut-hardshell-001,Hardshell jackets,Step 2 - Detergent,"#### Step 2 - Detergent The right detergent makes a big difference. We recommend using an eco-friendly liquid detergent for sports clothes. CAUTION: Avoid powder detergents, bleach, stain removers, and fabric softener. Running an empty hot wash in advance will ensure your machine is clear of any excess products.",approved,
candidate-010,How should I wash a Mammut hardshell?,dev,hardshell_washing,"Machine wash cold at up to 30°C/85°F, ideally with an extra rinse and low spin; use a delicate cycle if those settings are unavailable.",mammut-hardshell-001/step-3-how-to-wash-hardshells/003,mammut-hardshell-001,Hardshell jackets,Step 3 - How to wash hardshells,"#### Step 3 - How to wash hardshells Machine wash cold (max 30°C/85°F), ideally with an extra rinse cycle and low spin setting. If your machine does not does not have such settings available, use a delicate cycle.",approved,
